"","Référence","Date de la demande","Année de dépôt","Nom du demandeur","Adresse du demandeur","N° rue chantier","Adresse                      du chantier","Section cadastrale","N° parcelle","Surface du terrain (m²)","Nature des travaux envisagés","Date de la décision d'accord","Date de la décision de refus","Date d'affichage en mairie","Tél demandeur"
"1","19B0001",2019-01-09,2019,"TOP Office : Mme JOBLIN","8 Rue Pierre et Marie Curie 59260 Lezennes","174","Galliéni (avenue )","N","6-7-30-31",,"Réaménagement d'un local de vente de matériel bureau .","43592",,,
"2","19B0002",2019-01-21,2019,"OPH BONDY HABITAT: Mme DUFRESNEL","86 avenue Gallieni- BP 8- 93140 BONDY","93","République (avenue de la)","AJ","98","7465m²","mise en accessibilité d'une boulangerie","43567",,,
"3","19B0003",2019-01-21,2019,"Poste Immo : M. BOUCAUX","143 Boulevars Romain Rolland 75014  PARIS","40","Henri Barbusse (avenue )","AB","123","2208m²","Réaménagement d' un bureau de poste .","43592",,,
"4","19B0004(liée au PC 19B0009 )",2019-02-26,2019,"Ville de Bondy : Mme THOMASSIN","Esplanade Claude Fuzier 93143 Bondy Cedex","2","François Collet (rue )","AN","234- 236- 238 -239",,"Construction d'un bâtiment modulaire R+10 à usage de 6 classes + sanitaires .","43788",,,
"5","19B0005",2019-02-25,2019,"Sas Symav : M. ADANE","103 Avenue Carnot 93140 Bondy","4","Onze Novembre (place du )",,,,"Aménagement d'un local brut de béton en restaurant .","43630",,,
"6","19B0006",2019-02-25,2019,"EPT: Est Ensemble Grand Paris : M. COSME Gérard","100 Avenue Gaston Roussel 93230 Romainville","25","République (cours de la )","AD","52",,"Mise en conformité du cinéma André MALRAUX","43636",,,
"7","19B0007",2019-03-14,2019,"Nalam Restaurant : Mme  RAVY","4 rue Noémie Bondy","2","République (place de la)","AT","212","815m²","aménagement d'un restaurant (ex auto-école)",,"Classé sans suite le 20/05/2019",,
"8","19B0008",2019-03-25,2019,"SA de Cliniques chirurgicales : M. MIGNEN","50 Rue Michelet Bondy","50","L'Arbre du temps Michelet (rue )","AI","150","1741 m²","Réaménagement d'une clinique chirurgicale en résidence hôtellière .",,"43707",,
"9","19B0009",2019-03-26,2019,"PSA Retail Bondy : M. RAYNAUD","97 Avenue Galliéni Bondy","97","Galliéni (avenue )","J","215","5063 m²","Aménagement d'un établissement multi-marques dans un bâtiment PEUGEOT .","43641",,,
"10","19B0010",2019-04-05,2019,"Sarl Zianides : M. BEN AMARA","Salon Joe COZ  Barbier 132 Avenue Galliéni","132","Galliéni (avenue )","O","30",,"Salon Barbier et restauration service à table  .",,"43678",,
"11","19B0011                 (liée au PC  19B0018 )",2019-04-15,2019,"Centre d'Action Sociale de Ville de Paris : Mme POUYOL","5 Boulevard Diderot 75012 Paris","6","Marx Dormoy (avenue )","F","102-103-166-172","21542 m²","Mise en conformité de l'EHPAD  Arthur Groussier","43762",,,
"12","19B0012                (Liée au PCM 13B0043/M02 )",2019-04-16,2019,"Café Plazza des Arts : M. KOCAK","51 Avenue de Lattre de Tassigny Bondy","1","Pasteur (avenue )","o","1","512 m²","Réaménagement d' un lieu de culte en restaurant (rdc + étage )","43686",,,
"13","19B0013",2019-04-29,2019,"M. ZITOUNI","1 allée de la Paix 93380 Pierrefitte sur Seine","152","Gallieni (avenue)","O","13",,"aménagement d'une micro-crèche",,"43678",,
"14","19B0014 (Liée au PCM  16B0043/M02 )",2019-05-15,2019,"Ville de Bondy : Mme THOMASSIN","Esplanade Claude Fuzier 93143 Bondy Cedex","11 et 13","Verdun       (avenue de )","M","111-126","15174 m²","Mise en conformité Groupe scolaire . Ecole Léo Lagrange","43726",,,
"15","19B0015",2019-06-05,2019,"Nalam Restaurant : Mme  RAVY","2 Place de la République Bondy","2","République (Place de la )","AT","212","815 m²","Transformation d'une auto-ecole en restaurant .",,"43732",,
"16","19B0016 (liée au PCM 14B0058/M02)",2019-06-18,2019,"Ville de Bondy : Mme THOMASSIN","Esplanade Claude Fuzier 93143 Bondy Cedex","128","Villemomble (route de)","AY","96","12548m²","modification d'un ERP : regroupement des locaux maternelle, élémentaire, restauration et ASH en 1 seul bâtiment + mise en sécurité de certains secteurs",,,,
