"Activites economiques" "Centralite" "Equipement" "Equipement hospitalier" "Espace vert urbain" "Infrastructure" "Loisir en zone naturelle" "Secteur de preservation" "Secteur de projet" "Secteur de renouvellement" "Zone mixte" "Zone Naturelle" "Zone naturelle cimetiere"
"N" 0 0 0 0 0 0 0 0 0 0 0 100 0
"Nc" 0 0 0 0 0 0 100 0 0 0 0 0 100
"UA16B16" 33.3333333333333 0 0 0 0 0 0 0 0 0 0 0 0
"UA30A22" 33.3333333333333 0 0 0 0 0 0 0 0 0 0 0 0
"UA48E16" 33.3333333333333 0 0 0 0 0 0 0 0 0 0 0 0
"UC00A16" 0 16.6666666666667 0 0 0 0 0 0 0 0 0 0 0
"UC00Cb1" 0 16.6666666666667 0 0 0 0 0 0 0 0 0 0 0
"UC10C22" 0 16.6666666666667 0 0 0 0 0 0 0 0 0 0 0
"UC10Cnr" 0 16.6666666666667 0 0 0 0 0 0 0 0 0 0 0
"UC40C19" 0 16.6666666666667 0 0 0 0 0 0 0 0 0 0 0
"UC48C16" 0 16.6666666666667 0 0 0 0 0 0 0 0 0 0 0
"UE91Anr" 0 0 100 0 0 0 0 0 0 0 0 0 0
"UEh10Anr" 0 0 0 100 0 0 0 0 0 0 0 0 0
"UEi90Anr" 0 0 0 0 0 50 0 0 0 0 0 0 0
"UEi91Anr" 0 0 0 0 0 50 0 0 0 0 0 0 0
"UEv91Hnr" 0 0 0 0 100 0 0 0 0 0 0 0 0
"UH74M10" 0 0 0 0 0 0 0 14.2857142857143 0 0 0 0 0
"UH88E10" 0 0 0 0 0 0 0 14.2857142857143 0 0 0 0 0
"UH88F10" 0 0 0 0 0 0 0 14.2857142857143 0 0 0 0 0
"UH90E10" 0 0 0 0 0 0 0 14.2857142857143 0 0 0 0 0
"UH92E10" 0 0 0 0 0 0 0 14.2857142857143 0 0 0 0 0
"UH96E10" 0 0 0 0 0 0 0 14.2857142857143 0 0 0 0 0
"UH98E10" 0 0 0 0 0 0 0 14.2857142857143 0 0 0 0 0
"UM24L13" 0 0 0 0 0 0 0 0 0 0 50 0 0
"UM68D13" 0 0 0 0 0 0 0 0 0 0 50 0 0
"UP Bd1" 0 0 0 0 0 0 0 0 33.3333333333333 0 0 0 0
"UP No1" 0 0 0 0 0 0 0 0 33.3333333333333 0 0 0 0
"UP No7" 0 0 0 0 0 0 0 0 33.3333333333333 0 0 0 0
"UR190C19" 0 0 0 0 0 0 0 0 0 11.1111111111111 0 0 0
"UR20D22" 0 0 0 0 0 0 0 0 0 11.1111111111111 0 0 0
"UR60C16" 0 0 0 0 0 0 0 0 0 11.1111111111111 0 0 0
"UR70E19" 0 0 0 0 0 0 0 0 0 11.1111111111111 0 0 0
"UR90C16" 0 0 0 0 0 0 0 0 0 11.1111111111111 0 0 0
"UR90C19" 0 0 0 0 0 0 0 0 0 11.1111111111111 0 0 0
"UR90D19" 0 0 0 0 0 0 0 0 0 11.1111111111111 0 0 0
"UR90D22" 0 0 0 0 0 0 0 0 0 11.1111111111111 0 0 0
"UR90F16" 0 0 0 0 0 0 0 0 0 11.1111111111111 0 0 0
